image type	percentage similarity	computational time
condame.jpg	100	5.740000009536743
image type	percentage similarity	computational time
condame.jpg	100	6.019999980926514
image type	percentage similarity	computational time
new\condame_blurred.jpg	0	0.3299999237060547
new\condame_lumino.jpg	34	17.379000186920166
new\likeblack_45.png	0	5.0940001010894775
new\likeblack_cropped.jpg	0	6.214000225067139
new\memory_blurred.jpg	0	0.630000114440918
image type	percentage similarity	computational time
new\condame_blurred.jpg	1	0.5150001049041748
new\condame_lumino.jpg	39	16.28700017929077
new\likeblack_45.png	0	5.046999931335449
new\likeblack_cropped.jpg	0	6.027000188827515
new\memory_blurred.jpg	0	0.6369998455047607
image type	percentage similarity	computational time
new\condame_blurred.jpg	1	0.3320000171661377
new\condame_lumino.jpg	44	20.240000009536743
new\likeblack_45.png	0	7.9690001010894775
new\likeblack_cropped.jpg	0	8.598999977111816
new\memory_blurred.jpg	0	1.5
image type	percentage similarity	computational time
new\condame_blurred.jpg	1	0.3259999752044678
new\condame_lumino.jpg	48	16.973999977111816
new\likeblack_45.png	0	5.105999946594238
new\likeblack_cropped.jpg	0	6.430999994277954
new\memory_blurred.jpg	0	0.6480000019073486
image type	percentage similarity	computational time
new\condame_blurred.jpg	2	0.3689999580383301
new\condame_lumino.jpg	52	16.287999868392944
new\likeblack_45.png	1	7.9690001010894775
new\likeblack_cropped.jpg	0	7.510000228881836
new\memory_blurred.jpg	0	0.6659998893737793
image type	percentage similarity	computational time
new\condame_blurred.jpg	3	0.33899998664855957
new\condame_lumino.jpg	56	20.61899995803833
new\likeblack_45.png	2	7.962000131607056
new\likeblack_cropped.jpg	1	9.322999954223633
new\memory_blurred.jpg	2	0.6679999828338623
image type	percentage similarity	computational time
new\condame_blurred.jpg	6	0.3360002040863037
new\condame_lumino.jpg	61	16.399999856948853
new\likeblack_45.png	5	5.253000020980835
new\likeblack_cropped.jpg	4	10.420000076293945
new\memory_blurred.jpg	4	1.0140001773834229
image type	percentage similarity	computational time
new\condame_blurred.jpg	12	0.3280000686645508
new\condame_lumino.jpg	66	16.382999897003174
new\likeblack_45.png	11	5.139999866485596
new\likeblack_cropped.jpg	9	6.184999942779541
new\memory_blurred.jpg	9	1.0210001468658447
image type	percentage similarity	computational time
new\condame_blurred.jpg	23	0.3259999752044678
new\condame_lumino.jpg	72	16.746999979019165
new\likeblack_45.png	23	5.0920000076293945
new\likeblack_cropped.jpg	22	6.014000177383423
new\memory_blurred.jpg	18	0.6400001049041748
image type	percentage similarity	computational time
new\condame_blurred.jpg	47	0.30900001525878906
new\condame_lumino.jpg	83	16.051000118255615
new\likeblack_45.png	49	5.065000057220459
new\likeblack_cropped.jpg	47	6.007999897003174
new\memory_blurred.jpg	40	0.6429998874664307
image type	percentage similarity	computational time
new\condame_blurred.jpg	100	0.5390000343322754
new\condame_lumino.jpg	100	20.046000003814697
new\likeblack_45.png	100	5.484999895095825
new\likeblack_cropped.jpg	100	6.014999866485596
new\memory_blurred.jpg	100	0.6460001468658447
