image type	percentage similarity	computational time
original_book.jpg	100	0.22298192977905273
image type	percentage similarity	computational time
original_book.jpg	100	0.2331221103668213
image type	percentage similarity	computational time
original_book.jpg	100	0.21803712844848633
image type	percentage similarity	computational time
original_book.jpg	100	0.22517800331115723
image type	percentage similarity	computational time
original_book.jpg	100	0.22018003463745117
image type	percentage similarity	computational time
original_book.jpg	100	0.22101402282714844
image type	percentage similarity	computational time
original_book.jpg	100	0.22137784957885742
image type	percentage similarity	computational time
original_book.jpg	100	0.22155284881591797
image type	percentage similarity	computational time
original_book.jpg	100	0.23695611953735352
image type	percentage similarity	computational time
original_book.jpg	100	0.23887395858764648
image type	percentage similarity	computational time
original_book.jpg	100	0.23166394233703613
