image type	computational time	Time to fetch descriptors	percentage similarity
arabic_cropped.jpg	0.9428980350494385	3.974004030227661	11
arabic_45.png	0.9844229221343994	17.386205911636353	13
arabic_90.jpg	0.8636879920959473	4.081472873687744	15
arabic_blurred.jpg	0.13226079940795898	3.15185809135437	55
arabic_cropped.jpg	0.8351731300354004	3.2753958702087402	12
arabic.jpg	1.3862299919128418	3.9112188816070557	100
arabic_45.png	0.7959690093994141	18.004539012908936	14
arabic_90.jpg	0.8538999557495117	3.2662370204925537	16
arabic_blurred.jpg	0.16069483757019043	3.1134419441223145	61
arabic_cropped.jpg	0.8369810581207275	3.669128179550171	12.8485196896
arabic.jpg	1.188525915145874	3.3770320415496826	100.0
arabic_45.png	0.8673369884490967	17.870599031448364	14.0683395622
arabic_90.jpg	0.837507963180542	3.337099075317383	16.2880886427
arabic_blurred.jpg	0.11666488647460938	3.07302188873291	61.8951612903
