image type	percentage similarity	computational time
original_book.jpg	100	0.3707289695739746
image type	percentage similarity	computational time
original_book.jpg	100	0.2718791961669922
image type	percentage similarity	computational time
original_book.jpg	100	0.2738509178161621
image type	percentage similarity	computational time
original_book.jpg	100	0.27608609199523926
image type	percentage similarity	computational time
original_book.jpg	100	0.2776939868927002
image type	percentage similarity	computational time
original_book.jpg	100	0.27430009841918945
image type	percentage similarity	computational time
original_book.jpg	100	0.27671194076538086
image type	percentage similarity	computational time
original_book.jpg	100	0.2794160842895508
image type	percentage similarity	computational time
original_book.jpg	100	0.2972719669342041
image type	percentage similarity	computational time
original_book.jpg	100	0.313122034072876
image type	percentage similarity	computational time
original_book.jpg	100	0.28605198860168457
