image type	computational time	Time to fetch descriptors	percentage similarity(%)
arabic_cropped.jpg	0.5074138641357422	3.452025890350342	25.0424929178
arabic.jpg	0.77264404296875	3.3020529747009277	100.0
arabic_45.png	1.057823896408081	11.357661008834839	20.6240649711
arabic_90.jpg	0.7560150623321533	4.856846809387207	26.0309278351
arabic_blurred.jpg	0.17179393768310547	4.616420030593872	45.8052073288
arabic_cropped.jpg	0.5114068984985352	3.4078731536865234	25.0424929178
arabic.jpg	0.662755012512207	2.9467501640319824	100.0
arabic_45.png	0.7861428260803223	10.813420057296753	20.6240649711
arabic_90.jpg	0.6020770072937012	3.3439290523529053	26.0309278351
arabic_blurred.jpg	0.15533900260925293	2.891495943069458	45.8052073288
arabic_cropped.jpg	0.5054290294647217	3.156135082244873	25.0424929178
arabic.jpg	0.6729159355163574	2.994331121444702	100.0
arabic_45.png	0.6804349422454834	9.322654008865356	20.6240649711
arabic_90.jpg	0.6816220283508301	3.386726140975952	26.0309278351
arabic_blurred.jpg	0.1601419448852539	3.780269145965576	45.8052073288
arabic_cropped.jpg	0.5172970294952393	3.3134610652923584	25.0424929178
arabic.jpg	0.6916298866271973	3.0521419048309326	100.0
arabic_45.png	0.8243129253387451	9.896004915237427	20.6240649711
arabic_90.jpg	0.6077570915222168	3.4057271480560303	26.0309278351
arabic_blurred.jpg	0.1851661205291748	3.1240930557250977	45.8052073288
arabic_cropped.jpg	0.642866849899292	3.9942879676818848	25.0424929178
arabic.jpg	0.8167319297790527	3.736591100692749	100.0
arabic_45.png	0.7608001232147217	12.514883995056152	20.6240649711
arabic_90.jpg	0.6570501327514648	3.864872932434082	26.0309278351
arabic_blurred.jpg	0.18313884735107422	3.5779922008514404	45.8052073288
arabic_cropped.jpg	0.4512979984283447	2.7688040733337402	25.0424929178
arabic.jpg	0.6120719909667969	2.679241180419922	100.0
arabic_45.png	0.6221730709075928	9.945273876190186	20.6240649711
arabic_90.jpg	0.5383319854736328	3.2908740043640137	26.0309278351
arabic_blurred.jpg	0.1763288974761963	2.89959716796875	45.8052073288
arabic_cropped.jpg	0.8950619697570801	3.0561468601226807	25.0424929178
arabic.jpg	0.6740810871124268	4.008497953414917	100.0
arabic_45.png	0.923799991607666	10.686094045639038	20.6240649711
arabic_90.jpg	0.49044179916381836	4.498210906982422	26.0309278351
arabic_blurred.jpg	0.13843417167663574	2.6237099170684814	45.8052073288
arabic_cropped.jpg	0.45206713676452637	2.6844308376312256	25.0424929178
arabic.jpg	0.634570837020874	3.183696985244751	100.0
arabic_45.png	0.6170949935913086	9.239016056060791	20.6240649711
arabic_90.jpg	0.5655210018157959	3.617609977722168	26.0309278351
arabic_blurred.jpg	0.22031092643737793	3.2514150142669678	45.8052073288
arabic_cropped.jpg	0.5249178409576416	3.4678778648376465	25.0424929178
arabic.jpg	0.679736852645874	2.993628978729248	100.0
arabic_45.png	0.7032439708709717	9.15609884262085	20.6240649711
arabic_90.jpg	0.5692808628082275	3.295275926589966	26.0309278351
arabic_blurred.jpg	0.1609640121459961	3.006201982498169	45.8052073288
arabic_cropped.jpg	0.5036869049072266	3.4073851108551025	25.0424929178
arabic.jpg	0.9409778118133545	3.222139835357666	100.0
arabic_45.png	0.6960930824279785	9.874972820281982	20.6240649711
arabic_90.jpg	0.5538179874420166	3.4140100479125977	26.0309278351
arabic_blurred.jpg	0.20554804801940918	3.1785030364990234	45.8052073288
butterfly_90.jpg	0.368333101272583	3.0302531719207764	73.7234652897
butterfly_45.png	0.4375598430633545	9.951610803604126	60.5097365407
butterfly_cropped.jpg	0.36635684967041016	3.237734079360962	91.0885341074
butterfly.jpg	0.3688530921936035	2.903247833251953	100.0
butterfly_blurred.jpg	0.10252904891967773	2.776095151901245	53.0120481928
butterfly_90.jpg	0.36591196060180664	2.8176090717315674	73.7234652897
butterfly_45.png	0.4381871223449707	6.936272859573364	60.5097365407
butterfly_cropped.jpg	0.36997318267822266	3.986675977706909	91.0885341074
butterfly.jpg	0.3688838481903076	3.5418691635131836	100.0
butterfly_blurred.jpg	0.1412050724029541	4.159437894821167	53.0120481928
butterfly_90.jpg	0.37115907669067383	3.2596359252929688	73.7234652897
butterfly_45.png	0.4670119285583496	9.651266813278198	60.5097365407
butterfly_cropped.jpg	0.368588924407959	3.497514009475708	91.0885341074
butterfly.jpg	0.3697068691253662	2.93963623046875	100.0
butterfly_blurred.jpg	0.10055899620056152	2.8523619174957275	53.0120481928
butterfly_90.jpg	0.3678579330444336	2.934835910797119	73.7234652897
butterfly_45.png	0.4308199882507324	7.2753379344940186	60.5097365407
butterfly_cropped.jpg	0.3659839630126953	3.357184886932373	91.0885341074
butterfly.jpg	0.37200403213500977	2.953572988510132	100.0
butterfly_blurred.jpg	0.1004180908203125	2.819040060043335	53.0120481928
butterfly_90.jpg	0.37232089042663574	2.997807025909424	73.7234652897
butterfly_45.png	0.42060017585754395	7.04916787147522	60.5097365407
butterfly_cropped.jpg	0.3712470531463623	3.4499640464782715	91.0885341074
butterfly.jpg	0.36777687072753906	3.0614099502563477	100.0
butterfly_blurred.jpg	0.10123276710510254	2.90939998626709	53.0120481928
butterfly_90.jpg	0.36797189712524414	2.901063919067383	73.7234652897
butterfly_45.png	0.4339101314544678	9.541948080062866	60.5097365407
butterfly_cropped.jpg	0.3638648986816406	3.2491140365600586	91.0885341074
butterfly.jpg	0.3670461177825928	2.941200017929077	100.0
butterfly_blurred.jpg	0.10477495193481445	3.167685031890869	53.0120481928
butterfly_90.jpg	0.3686330318450928	2.937058925628662	73.7234652897
butterfly_45.png	0.6980459690093994	9.662265062332153	60.5097365407
butterfly_cropped.jpg	0.480025053024292	3.579115152359009	91.0885341074
butterfly.jpg	0.37178683280944824	2.968573808670044	100.0
butterfly_blurred.jpg	0.10255098342895508	2.8214268684387207	53.0120481928
butterfly_90.jpg	0.3837130069732666	3.040379047393799	73.7234652897
butterfly_45.png	0.42525696754455566	8.81080412864685	60.5097365407
butterfly_cropped.jpg	0.3691132068634033	3.270505905151367	91.0885341074
butterfly.jpg	0.3671908378601074	2.9083938598632812	100.0
butterfly_blurred.jpg	0.10203719139099121	2.88070011138916	53.0120481928
butterfly_90.jpg	0.368074893951416	2.988631010055542	73.7234652897
butterfly_45.png	0.43622612953186035	7.182790040969849	60.5097365407
butterfly_cropped.jpg	0.3976259231567383	3.3140971660614014	91.0885341074
butterfly.jpg	0.458528995513916	3.1803410053253174	100.0
butterfly_blurred.jpg	0.10769009590148926	4.591063976287842	53.0120481928
butterfly_90.jpg	0.37093520164489746	3.0120809078216553	73.7234652897
butterfly_45.png	0.4360969066619873	9.570111989974976	60.5097365407
butterfly_cropped.jpg	0.36421895027160645	3.3897199630737305	91.0885341074
butterfly.jpg	0.37128281593322754	2.9764130115509033	100.0
butterfly_blurred.jpg	0.11048507690429688	3.0519180297851562	53.0120481928
condame_cropped.jpg	0.2643580436706543	3.1539289951324463	93.1338028169
condame_90.jpg	0.2509150505065918	3.0890660285949707	72.5317348378
condame_45.png	0.27941393852233887	10.704599142074585	56.0563380282
condame_blurred.jpg	0.06329011917114258	3.287834882736206	48.0079681275
condame.jpg	0.24330711364746094	2.9564239978790283	100.0
condame_cropped.jpg	0.25540900230407715	3.135730028152466	93.1338028169
condame_90.jpg	0.4188389778137207	3.6645889282226562	72.5317348378
condame_45.png	0.2792489528656006	9.578155040740967	56.0563380282
condame_blurred.jpg	0.05266690254211426	3.229675769805908	48.0079681275
condame.jpg	0.48301005363464355	4.14100193977356	100.0
condame_cropped.jpg	0.3193020820617676	4.421497106552124	93.1338028169
condame_90.jpg	0.26212096214294434	3.172106981277466	72.5317348378
condame_45.png	0.2920081615447998	10.490789890289307	56.0563380282
condame_blurred.jpg	0.05716514587402344	3.5433640480041504	48.0079681275
condame.jpg	0.33029699325561523	3.150381088256836	100.0
condame_cropped.jpg	0.32329511642456055	3.381273031234741	93.1338028169
condame_90.jpg	0.24836516380310059	3.267317056655884	72.5317348378
condame_45.png	0.2823820114135742	8.539930820465088	56.0563380282
condame_blurred.jpg	0.04920601844787598	3.3212990760803223	48.0079681275
condame.jpg	0.23516201972961426	2.90185809135437	100.0
condame_cropped.jpg	0.3606131076812744	4.264384984970093	93.1338028169
condame_90.jpg	0.4221780300140381	3.969119071960449	72.5317348378
condame_45.png	0.32047414779663086	10.618133068084717	56.0563380282
condame_blurred.jpg	0.06874799728393555	4.003543853759766	48.0079681275
condame.jpg	0.3849918842315674	3.8782670497894287	100.0
condame_cropped.jpg	0.29883313179016113	3.26706600189209	93.1338028169
condame_90.jpg	0.26421093940734863	3.5224199295043945	72.5317348378
condame_45.png	0.2770099639892578	7.746922016143799	56.0563380282
condame_blurred.jpg	0.0495610237121582	3.5020461082458496	48.0079681275
condame.jpg	0.24394488334655762	2.8730080127716064	100.0
condame_cropped.jpg	0.3517160415649414	3.453409194946289	93.1338028169
condame_90.jpg	0.3390820026397705	3.2238070964813232	72.5317348378
condame_45.png	0.2912728786468506	7.641324996948242	56.0563380282
condame_blurred.jpg	0.07101202011108398	3.5971360206604004	48.0079681275
condame.jpg	0.3200399875640869	3.618680953979492	100.0
condame_cropped.jpg	0.2564389705657959	2.9955339431762695	93.1338028169
condame_90.jpg	0.2442619800567627	3.172935962677002	72.5317348378
condame_45.png	0.28094983100891113	10.458587169647217	56.0563380282
condame_blurred.jpg	0.04811215400695801	3.287874937057495	48.0079681275
condame.jpg	0.24050593376159668	3.024343967437744	100.0
condame_cropped.jpg	0.2572641372680664	2.9046409130096436	93.1338028169
condame_90.jpg	0.24807095527648926	3.0899271965026855	72.5317348378
condame_45.png	0.34554219245910645	9.748579978942871	56.0563380282
condame_blurred.jpg	0.05686616897583008	4.661736011505127	48.0079681275
condame.jpg	0.261929988861084	3.068143844604492	100.0
condame_cropped.jpg	0.2799398899078369	3.257512092590332	93.1338028169
condame_90.jpg	0.30149412155151367	3.6790761947631836	72.5317348378
condame_45.png	0.3604881763458252	10.499283075332642	56.0563380282
condame_blurred.jpg	0.05023598670959473	4.142030954360962	48.0079681275
condame.jpg	0.24772000312805176	3.088779926300049	100.0
life_blurred.jpg	0.005027055740356445	0.18890810012817383	38.7096774194
life_45.png	0.038609981536865234	0.4167511463165283	58.1581581582
life_cropped.jpeg	0.03282785415649414	0.23541498184204102	86.6108786611
life.JPEG	0.030395984649658203	0.20900678634643555	100.0
life_90.JPEG	0.031105995178222656	0.20028185844421387	77.3092369478
life_blurred.jpg	0.0031218528747558594	0.18352794647216797	38.7096774194
life_45.png	0.03793692588806152	0.4432849884033203	58.1581581582
life_cropped.jpeg	0.03368115425109863	0.27477502822875977	86.6108786611
life.JPEG	0.034957170486450195	0.21217894554138184	100.0
life_90.JPEG	0.02985215187072754	0.21904993057250977	77.3092369478
life_blurred.jpg	0.002702951431274414	0.1885061264038086	38.7096774194
life_45.png	0.03760099411010742	0.44840288162231445	58.1581581582
life_cropped.jpeg	0.03176593780517578	0.22865796089172363	86.6108786611
life.JPEG	0.03139305114746094	0.20408010482788086	100.0
life_90.JPEG	0.03140902519226074	0.19852113723754883	77.3092369478
life_blurred.jpg	0.00321197509765625	0.18081903457641602	38.7096774194
life_45.png	0.03780102729797363	0.41817307472229004	58.1581581582
life_cropped.jpeg	0.03163313865661621	0.2389371395111084	86.6108786611
life.JPEG	0.030287981033325195	0.20638799667358398	100.0
life_90.JPEG	0.0316009521484375	0.195573091506958	77.3092369478
life_blurred.jpg	0.0024750232696533203	0.20076203346252441	38.7096774194
life_45.png	0.03911399841308594	0.41529321670532227	58.1581581582
life_cropped.jpeg	0.03434586524963379	0.27725791931152344	86.6108786611
life.JPEG	0.0312809944152832	0.21800708770751953	100.0
life_90.JPEG	0.03160500526428223	0.19796109199523926	77.3092369478
life_blurred.jpg	0.006891012191772461	0.3703951835632324	38.7096774194
life_45.png	0.03871488571166992	0.4365379810333252	58.1581581582
life_cropped.jpeg	0.03168201446533203	0.2294788360595703	86.6108786611
life.JPEG	0.03115105628967285	0.21895813941955566	100.0
life_90.JPEG	0.03275609016418457	0.2012920379638672	77.3092369478
life_blurred.jpg	0.002568960189819336	0.1994478702545166	38.7096774194
life_45.png	0.037405967712402344	0.42425107955932617	58.1581581582
life_cropped.jpeg	0.030184030532836914	0.23268508911132812	86.6108786611
life.JPEG	0.031219005584716797	0.2079911231994629	100.0
life_90.JPEG	0.03394579887390137	0.22548699378967285	77.3092369478
life_blurred.jpg	0.0035858154296875	0.21664905548095703	38.7096774194
life_45.png	0.040596961975097656	0.525435209274292	58.1581581582
life_cropped.jpeg	0.03095698356628418	0.23676204681396484	86.6108786611
life.JPEG	0.031707048416137695	0.20986390113830566	100.0
life_90.JPEG	0.03964710235595703	0.21978306770324707	77.3092369478
life_blurred.jpg	0.0026328563690185547	0.19393610954284668	38.7096774194
life_45.png	0.037841796875	0.44582509994506836	58.1581581582
life_cropped.jpeg	0.030369043350219727	0.22818493843078613	86.6108786611
life.JPEG	0.03159689903259277	0.21161103248596191	100.0
life_90.JPEG	0.030591964721679688	0.19861507415771484	77.3092369478
life_blurred.jpg	0.0031571388244628906	0.20848393440246582	38.7096774194
life_45.png	0.04101681709289551	0.4395289421081543	58.1581581582
life_cropped.jpeg	0.029868125915527344	0.2416081428527832	86.6108786611
life.JPEG	0.03374290466308594	0.2062380313873291	100.0
life_90.JPEG	0.030731916427612305	0.2311239242553711	77.3092369478
likeblack.jpg	0.7807321548461914	3.0608749389648438	100.0
likeblack_90.jpg	0.9096629619598389	3.6988918781280518	74.2833228709
likeblack_45.png	0.7184009552001953	7.5969109535217285	54.4028445932
likeblack_blurred.jpg	0.14236211776733398	3.6234970092773438	52.0454545455
likeblack_cropped.jpg	0.6963939666748047	3.075692892074585	90.2914657161
likeblack.jpg	0.7236299514770508	3.4548439979553223	100.0
likeblack_90.jpg	0.692223072052002	2.918600082397461	74.2833228709
likeblack_45.png	0.7151830196380615	8.310283899307251	54.4028445932
likeblack_blurred.jpg	0.13834691047668457	3.311964988708496	52.0454545455
likeblack_cropped.jpg	0.6945772171020508	2.9517621994018555	90.2914657161
likeblack.jpg	0.6714909076690674	4.157331943511963	100.0
likeblack_90.jpg	0.6930398941040039	3.133289098739624	74.2833228709
likeblack_45.png	0.700498104095459	7.521941900253296	54.4028445932
likeblack_blurred.jpg	0.13885998725891113	3.3647360801696777	52.0454545455
likeblack_cropped.jpg	0.6657059192657471	3.016573905944824	90.2914657161
likeblack.jpg	0.6705570220947266	3.0866119861602783	100.0
likeblack_90.jpg	0.6821930408477783	2.895840883255005	74.2833228709
likeblack_45.png	0.6868181228637695	7.385562896728516	54.4028445932
likeblack_blurred.jpg	0.13041114807128906	3.2375309467315674	52.0454545455
likeblack_cropped.jpg	0.6109540462493896	2.6358420848846436	90.2914657161
likeblack.jpg	0.6195428371429443	2.5873329639434814	100.0
likeblack_90.jpg	0.6238198280334473	2.5298140048980713	74.2833228709
likeblack_45.png	0.652742862701416	7.385535955429077	54.4028445932
likeblack_blurred.jpg	0.1226799488067627	2.9890859127044678	52.0454545455
likeblack_cropped.jpg	0.6471281051635742	2.8251869678497314	90.2914657161
likeblack.jpg	0.6057980060577393	2.5384678840637207	100.0
likeblack_90.jpg	0.6239349842071533	2.6222119331359863	74.2833228709
likeblack_45.png	0.6310110092163086	7.223603963851929	54.4028445932
likeblack_blurred.jpg	0.12532687187194824	3.0182321071624756	52.0454545455
likeblack_cropped.jpg	0.6236279010772705	2.757265090942383	90.2914657161
likeblack.jpg	0.800152063369751	2.5922632217407227	100.0
likeblack_90.jpg	0.6603889465332031	2.7907960414886475	74.2833228709
likeblack_45.png	0.6235949993133545	6.137763977050781	54.4028445932
likeblack_blurred.jpg	0.12577605247497559	2.9991390705108643	52.0454545455
likeblack_cropped.jpg	0.6282999515533447	3.136641025543213	90.2914657161
likeblack.jpg	0.6191830635070801	2.687551975250244	100.0
likeblack_90.jpg	0.6100499629974365	2.6127829551696777	74.2833228709
likeblack_45.png	0.6466221809387207	6.886330842971802	54.4028445932
likeblack_blurred.jpg	0.12799406051635742	3.059520959854126	52.0454545455
likeblack_cropped.jpg	0.6125650405883789	2.7733731269836426	90.2914657161
likeblack.jpg	0.6690578460693359	3.5060689449310303	100.0
likeblack_90.jpg	0.6327159404754639	2.6610350608825684	74.2833228709
likeblack_45.png	0.7014718055725098	6.229557991027832	54.4028445932
likeblack_blurred.jpg	0.13320398330688477	3.439055919647217	52.0454545455
likeblack_cropped.jpg	0.6254031658172607	2.7677290439605713	90.2914657161
likeblack.jpg	0.6217000484466553	2.634474992752075	100.0
likeblack_90.jpg	0.6253921985626221	2.6293928623199463	74.2833228709
likeblack_45.png	0.6481661796569824	7.120783090591431	54.4028445932
likeblack_blurred.jpg	0.1259770393371582	3.034634828567505	52.0454545455
likeblack_cropped.jpg	0.6831450462341309	2.7910120487213135	90.2914657161
madam_blurred.jpg	0.22184300422668457	3.464827060699463	29.1139240506
madam_90.jpg	0.516577959060669	4.284013032913208	71.2476919019
madam_45.png	0.6017298698425293	10.95334792137146	59.9577947771
madam.jpg	0.6380009651184082	3.6433889865875244	100.0
madam_cropped.jpg	0.4788529872894287	3.5795960426330566	96.7818517542
madam_blurred.jpg	0.11082601547241211	3.0828440189361572	29.1139240506
madam_90.jpg	0.5787301063537598	3.1789588928222656	71.2476919019
madam_45.png	0.7059309482574463	10.969075918197632	59.9577947771
madam.jpg	0.5036230087280273	3.7585809230804443	100.0
madam_cropped.jpg	0.4359920024871826	3.254530906677246	96.7818517542
madam_blurred.jpg	0.1926431655883789	3.4753661155700684	29.1139240506
madam_90.jpg	0.5418751239776611	4.508960962295532	71.2476919019
madam_45.png	0.5171749591827393	9.829891920089722	59.9577947771
madam.jpg	0.5116260051727295	3.722350835800171	100.0
madam_cropped.jpg	0.4051780700683594	3.2166998386383057	96.7818517542
madam_blurred.jpg	0.1958329677581787	3.208087921142578	29.1139240506
madam_90.jpg	0.46647191047668457	3.2169029712677	71.2476919019
madam_45.png	0.5138139724731445	8.248477935791016	59.9577947771
madam.jpg	0.5206959247589111	3.547697067260742	100.0
madam_cropped.jpg	0.4370560646057129	2.9542410373687744	96.7818517542
madam_blurred.jpg	0.12668895721435547	2.9863500595092773	29.1139240506
madam_90.jpg	0.45467114448547363	2.823806047439575	71.2476919019
madam_45.png	0.5292179584503174	9.108635902404785	59.9577947771
madam.jpg	0.510451078414917	3.3458778858184814	100.0
madam_cropped.jpg	0.46109604835510254	3.0873210430145264	96.7818517542
madam_blurred.jpg	0.14534687995910645	2.921124219894409	29.1139240506
madam_90.jpg	0.4220550060272217	2.992410182952881	71.2476919019
madam_45.png	0.6174049377441406	7.964250802993774	59.9577947771
madam.jpg	0.39638710021972656	3.5363078117370605	100.0
madam_cropped.jpg	0.3957979679107666	2.7560200691223145	96.7818517542
madam_blurred.jpg	0.11109590530395508	2.5839731693267822	29.1139240506
madam_90.jpg	0.4102909564971924	2.8485000133514404	71.2476919019
madam_45.png	0.6292979717254639	7.8884289264678955	59.9577947771
madam.jpg	0.5218319892883301	3.313673973083496	100.0
madam_cropped.jpg	0.4009220600128174	3.2301928997039795	96.7818517542
madam_blurred.jpg	0.12276005744934082	2.655017137527466	29.1139240506
madam_90.jpg	0.3858158588409424	2.911396026611328	71.2476919019
madam_45.png	0.5840668678283691	8.474427938461304	59.9577947771
madam.jpg	0.48137807846069336	4.871518850326538	100.0
madam_cropped.jpg	0.7164461612701416	3.927211046218872	96.7818517542
madam_blurred.jpg	0.10958719253540039	2.787238121032715	29.1139240506
madam_90.jpg	0.6064839363098145	3.173180103302002	71.2476919019
madam_45.png	0.8375260829925537	10.614097118377686	59.9577947771
madam.jpg	0.42008090019226074	3.720597982406616	100.0
madam_cropped.jpg	0.4813401699066162	2.787984848022461	96.7818517542
madam_blurred.jpg	0.17158007621765137	3.440329074859619	29.1139240506
madam_90.jpg	0.5182490348815918	3.618035078048706	71.2476919019
madam_45.png	0.5735609531402588	9.799937009811401	59.9577947771
madam.jpg	0.3868110179901123	3.3409440517425537	100.0
madam_cropped.jpg	0.40886592864990234	2.8340229988098145	96.7818517542
malcomx_blurred.jpg	0.7472779750823975	2.6843159198760986	40.6629318394
malcomx.jpg	4.191159009933472	2.8200290203094482	100.0
malcomx_90.jpg	4.219027042388916	3.007495164871216	79.7447643979
malcomx_45.png	4.4716620445251465	6.534055948257446	65.0278141361
malcomx_cropped.jpg	4.16506290435791	3.161576986312866	95.3594554209
malcomx_blurred.jpg	0.7700529098510742	2.8525168895721436	40.6629318394
malcomx.jpg	4.424779891967773	2.9103620052337646	100.0
malcomx_90.jpg	4.377848148345947	3.038071870803833	79.7447643979
malcomx_45.png	4.490149021148682	6.686830997467041	65.0278141361
malcomx_cropped.jpg	4.2805070877075195	3.1063120365142822	95.3594554209
malcomx_blurred.jpg	0.7557258605957031	3.0936429500579834	40.6629318394
malcomx.jpg	4.3197479248046875	2.9975318908691406	100.0
malcomx_90.jpg	4.367002010345459	3.1360409259796143	79.7447643979
malcomx_45.png	4.580487012863159	6.6587700843811035	65.0278141361
malcomx_cropped.jpg	4.223410129547119	3.1670970916748047	95.3594554209
malcomx_blurred.jpg	0.7770068645477295	2.8626978397369385	40.6629318394
malcomx.jpg	4.383023977279663	2.9270660877227783	100.0
malcomx_90.jpg	4.329992055892944	3.056795120239258	79.7447643979
malcomx_45.png	4.555278062820435	6.560197830200195	65.0278141361
malcomx_cropped.jpg	4.165643930435181	3.1402368545532227	95.3594554209
malcomx_blurred.jpg	0.7166788578033447	2.7095820903778076	40.6629318394
malcomx.jpg	4.218272924423218	2.77778697013855	100.0
malcomx_90.jpg	4.237078905105591	2.9154229164123535	79.7447643979
malcomx_45.png	5.0389299392700195	7.773129940032959	65.0278141361
malcomx_cropped.jpg	5.5413289070129395	4.008250951766968	95.3594554209
malcomx_blurred.jpg	0.7426891326904297	2.7185261249542236	40.6629318394
malcomx.jpg	4.507776975631714	2.8579719066619873	100.0
malcomx_90.jpg	4.307193994522095	3.42828106880188	79.7447643979
malcomx_45.png	4.5707879066467285	6.356020927429199	65.0278141361
malcomx_cropped.jpg	4.096286058425903	3.136831045150757	95.3594554209
malcomx_blurred.jpg	0.7121481895446777	2.692492961883545	40.6629318394
malcomx.jpg	4.217804908752441	2.704558849334717	100.0
malcomx_90.jpg	4.247421026229858	3.0207929611206055	79.7447643979
malcomx_45.png	4.580099105834961	6.671087980270386	65.0278141361
malcomx_cropped.jpg	4.176044940948486	3.2209839820861816	95.3594554209
malcomx_blurred.jpg	0.7368168830871582	2.7418529987335205	40.6629318394
malcomx.jpg	4.309545993804932	2.7517290115356445	100.0
malcomx_90.jpg	4.225733995437622	2.9591989517211914	79.7447643979
malcomx_45.png	4.567674160003662	6.389508962631226	65.0278141361
malcomx_cropped.jpg	4.188216924667358	3.1287009716033936	95.3594554209
malcomx_blurred.jpg	0.7206470966339111	2.7906410694122314	40.6629318394
malcomx.jpg	4.24000096321106	2.775266170501709	100.0
malcomx_90.jpg	4.269881010055542	2.9411768913269043	79.7447643979
malcomx_45.png	4.476589918136597	6.285381078720093	65.0278141361
malcomx_cropped.jpg	4.097756862640381	3.0206449031829834	95.3594554209
malcomx_blurred.jpg	0.7328460216522217	2.657341957092285	40.6629318394
malcomx.jpg	4.1612207889556885	2.819549083709717	100.0
malcomx_90.jpg	4.253883123397827	2.944303035736084	79.7447643979
malcomx_45.png	4.505433082580566	6.272095203399658	65.0278141361
malcomx_cropped.jpg	4.104997873306274	3.122460126876831	95.3594554209
memory_blurred.jpg	0.11521697044372559	2.5596461296081543	46.9910371319
memory_90.jpg	0.7388570308685303	2.704754114151001	77.730523874
memory.jpg	0.7221708297729492	2.561838150024414	100.0
memory_45.png	0.7669830322265625	5.776482820510864	59.8029746958
memory_cropped.jpg	0.7380461692810059	2.9462599754333496	90.0773694391
memory_blurred.jpg	0.12284994125366211	2.5136871337890625	46.9910371319
memory_90.jpg	0.7254071235656738	2.6610379219055176	77.730523874
memory.jpg	0.7241368293762207	2.6080310344696045	100.0
memory_45.png	0.776141881942749	6.050288915634155	59.8029746958
memory_cropped.jpg	0.719310998916626	2.9511420726776123	90.0773694391
memory_blurred.jpg	0.11702895164489746	2.6611359119415283	46.9910371319
memory_90.jpg	0.7366459369659424	2.689162015914917	77.730523874
memory.jpg	0.8180041313171387	2.768984794616699	100.0
memory_45.png	0.9790260791778564	6.917424917221069	59.8029746958
memory_cropped.jpg	0.8201601505279541	3.3523499965667725	90.0773694391
memory_blurred.jpg	0.12388491630554199	2.834681987762451	46.9910371319
memory_90.jpg	0.8145890235900879	2.8606579303741455	77.730523874
memory.jpg	0.8178761005401611	2.9282948970794678	100.0
memory_45.png	0.8624598979949951	6.742970943450928	59.8029746958
memory_cropped.jpg	0.8100869655609131	3.312452793121338	90.0773694391
memory_blurred.jpg	0.13211917877197266	2.7926831245422363	46.9910371319
memory_90.jpg	0.8170680999755859	3.0771141052246094	77.730523874
memory.jpg	0.8163161277770996	2.8652279376983643	100.0
memory_45.png	0.8664631843566895	6.4876768589019775	59.8029746958
memory_cropped.jpg	0.82973313331604	3.326612949371338	90.0773694391
memory_blurred.jpg	0.1336040496826172	2.8255059719085693	46.9910371319
memory_90.jpg	0.8232400417327881	2.8932509422302246	77.730523874
memory.jpg	0.8139300346374512	2.9558467864990234	100.0
memory_45.png	0.8835148811340332	6.605633020401001	59.8029746958
memory_cropped.jpg	0.7966721057891846	3.3047051429748535	90.0773694391
memory_blurred.jpg	0.1315610408782959	2.792850971221924	46.9910371319
memory_90.jpg	0.8118350505828857	2.9285190105438232	77.730523874
memory.jpg	0.8191189765930176	2.9548490047454834	100.0
memory_45.png	0.8473360538482666	6.654592037200928	59.8029746958
memory_cropped.jpg	0.8198051452636719	3.337838888168335	90.0773694391
memory_blurred.jpg	0.12914681434631348	2.813977003097534	46.9910371319
memory_90.jpg	0.8173840045928955	2.9713220596313477	77.730523874
memory.jpg	0.8234469890594482	2.9728739261627197	100.0
memory_45.png	0.8595750331878662	6.610320091247559	59.8029746958
memory_cropped.jpg	0.8267209529876709	3.213162899017334	90.0773694391
memory_blurred.jpg	0.12957286834716797	2.804534912109375	46.9910371319
memory_90.jpg	0.81827712059021	2.900178909301758	77.730523874
memory.jpg	0.8153519630432129	2.8421599864959717	100.0
memory_45.png	0.8581831455230713	6.667255878448486	59.8029746958
memory_cropped.jpg	0.822206974029541	3.206083059310913	90.0773694391
memory_blurred.jpg	0.13058900833129883	2.9193129539489746	46.9910371319
memory_90.jpg	0.8696248531341553	2.91550612449646	77.730523874
memory.jpg	0.8221991062164307	2.9991519451141357	100.0
memory_45.png	0.8685040473937988	6.699592113494873	59.8029746958
memory_cropped.jpg	0.8095800876617432	3.251041889190674	90.0773694391
prayer_blurred.jpg	0.19263601303100586	2.863116979598999	26.244813278
prayer.jpg	1.2386291027069092	2.945448875427246	100.0
prayer_cropped.jpg	1.1925311088562012	2.829850912094116	92.2575387123
prayer_90.jpg	1.2346930503845215	2.923550844192505	75.315258512
prayer_45.png	1.2862379550933838	6.841984987258911	58.1809583859
prayer_blurred.jpg	0.19170308113098145	2.8667800426483154	26.244813278
prayer.jpg	1.2273399829864502	2.8498120307922363	100.0
