image name	percentage similarity	matching time	time_to_fetch_descriptors
original	99	0.06824111938476562	1.9783780574798584
rot_90	99	0.0770111083984375	2.3842790126800537
cropped	81	0.07735896110534668	2.110322952270508
lumino	32	0.14791607856750488	2.0886571407318115
rot_45	12	0.06914091110229492	5.5937299728393555
blurred	4	0.022465944290161133	2.3964860439300537
other1	0	0.07430887222290039	4.405505895614624
other2	0	0.08621001243591309	2.586801052093506
other3	0	0.15140199661254883	4.064256906509399
other4	0	0.02712392807006836	1.99531888961792
0ther5	0	0.02136707305908203	1.889068841934204
0ther6	0	0.17389607429504395	2.380535125732422
other7	0	0.029145002365112305	1.9775090217590332
other8	0	0.4524710178375244	3.8869290351867676
other9	0	0.05892515182495117	0.2645578384399414
image name	percentage similarity	matching time	time_to_fetch_descriptors
original	99	0.0729060173034668	2.5786659717559814
rot_90	99	0.0741121768951416	1.9868011474609375
cropped	82	0.08039999008178711	1.9497787952423096
lumino	34	0.14736604690551758	2.16446590423584
rot_45	15	0.10078191757202148	5.451208829879761
blurred	8	0.020700931549072266	2.21146297454834
other1	0	0.09759187698364258	4.774571180343628
other2	0	0.0867149829864502	2.1440629959106445
other3	0	0.14432287216186523	4.223521947860718
other4	0	0.029917001724243164	1.8394241333007812
0ther5	0	0.020407915115356445	1.856276035308838
0ther6	0	0.08821702003479004	2.294660806655884
other7	0	0.024072885513305664	1.8589489459991455
other8	0	0.3272819519042969	3.172245979309082
other9	0	0.04226994514465332	0.19622302055358887
image name	percentage similarity	matching time	time_to_fetch_descriptors
original	99	0.0714409351348877	2.1031720638275146
rot_90	99	0.07688403129577637	1.9609909057617188
cropped	83	0.08634710311889648	1.9762861728668213
lumino	36	0.14436006546020508	2.0992321968078613
rot_45	19	0.06341695785522461	3.951796054840088
blurred	10	0.014807939529418945	1.7916960716247559
other1	1	0.07341313362121582	3.9932990074157715
other2	1	0.032540082931518555	1.819009780883789
other3	1	0.026699066162109375	1.9209129810333252
other4	0	0.08809995651245117	2.106579065322876
0ther5	0	0.1508488655090332	3.9461510181427
0ther6	0	0.08802390098571777	2.476552963256836
other7	0	0.02445197105407715	1.866114854812622
other8	0	0.3190131187438965	3.101613998413086
other9	0	0.04019308090209961	0.1957700252532959
image name	percentage similarity	matching time	time_to_fetch_descriptors
original	99	0.08218002319335938	1.9480438232421875
rot_90	99	0.07152581214904785	1.9994499683380127
cropped	84	0.09157705307006836	2.1653599739074707
lumino	37	0.1351947784423828	2.1294009685516357
rot_45	23	0.0722341537475586	3.6960620880126953
blurred	11	0.015154123306274414	1.8331091403961182
other1	3	0.07995104789733887	3.835947036743164
other2	2	0.03017592430114746	1.8135788440704346
other3	2	0.026006221771240234	1.8398818969726562
other4	1	0.08593392372131348	2.284898042678833
0ther5	0	0.08864998817443848	2.120091199874878
0ther6	0	0.14662408828735352	3.9243240356445312
other7	0	0.024572134017944336	1.8604941368103027
other8	0	0.37646484375	3.083254098892212
other9	0	0.05091500282287598	0.21098804473876953
image name	percentage similarity	matching time	time_to_fetch_descriptors
original	99	0.07711601257324219	2.1115500926971436
rot_90	99	0.07574915885925293	1.995422124862671
cropped	84	0.07996106147766113	1.9648840427398682
lumino	39	0.1385669708251953	2.1172268390655518
rot_45	26	0.06556510925292969	4.099617004394531
blurred	13	0.015559911727905273	1.8123180866241455
other1	5	0.07932591438293457	3.9165608882904053
other2	4	0.030328989028930664	1.8314669132232666
other3	4	0.02363896369934082	1.845682144165039
other4	1	0.09009909629821777	2.16090989112854
0ther5	1	0.14888691902160645	3.9484851360321045
0ther6	1	0.09452104568481445	2.39509916305542
other7	1	0.023630857467651367	1.9254240989685059
other8	1	0.04064798355102539	0.1951889991760254
other9	0	0.3166389465332031	3.078051805496216
image name	percentage similarity	matching time	time_to_fetch_descriptors
original	99	0.07120203971862793	1.9470629692077637
rot_90	99	0.07399892807006836	2.0605077743530273
cropped	85	0.0831301212310791	1.9943609237670898
lumino	40	0.14608502388000488	2.044243097305298
rot_45	32	0.06575894355773926	3.9314610958099365
blurred	16	0.015269994735717773	1.8223800659179688
other1	7	0.07141709327697754	4.1947619915008545
other2	7	0.02329707145690918	1.86549711227417
other3	5	0.027753114700317383	1.8678669929504395
other4	3	0.0861668586730957	2.119036912918091
0ther5	3	0.02530813217163086	1.8151319026947021
0ther6	3	0.04264998435974121	0.20238590240478516
other7	2	0.08671903610229492	2.2885899543762207
other8	1	0.1483011245727539	3.8901891708374023
other9	0	0.3426210880279541	3.115666151046753
image name	percentage similarity	matching time	time_to_fetch_descriptors
original	99	0.08089208602905273	1.95902681350708
rot_90	99	0.07182788848876953	1.9152710437774658
cropped	86	0.08430910110473633	1.9657649993896484
lumino	41	0.15910100936889648	2.872865915298462
rot_45	38	0.07055902481079102	3.598752975463867
blurred	20	0.015530109405517578	1.911545991897583
other1	11	0.020184040069580078	1.8731489181518555
other2	10	0.08083510398864746	3.9575490951538086
other3	9	0.027493953704833984	1.8760578632354736
other4	7	0.04318714141845703	0.19315600395202637
0ther5	6	0.08307909965515137	2.4699320793151855
0ther6	6	0.09188008308410645	2.169832944869995
other7	6	0.026374101638793945	1.8618528842926025
other8	3	0.14720606803894043	4.920634984970093
other9	1	0.3202831745147705	3.0992209911346436
image name	percentage similarity	matching time	time_to_fetch_descriptors
original	99	0.07099413871765137	1.9862480163574219
rot_90	99	0.07512784004211426	1.9558360576629639
cropped	86	0.08549380302429199	1.9782178401947021
lumino	46	0.06505084037780762	3.953444004058838
rot_45	42	0.13985300064086914	2.183621883392334
blurred	26	0.015455007553100586	1.7887868881225586
other1	20	0.020089149475097656	1.9238030910491943
other2	16	0.0754249095916748	3.9657039642333984
other3	16	0.03031182289123535	1.9464588165283203
other4	16	0.04154515266418457	0.20061612129211426
0ther5	14	0.027161836624145508	1.9152920246124268
0ther6	10	0.08884096145629883	2.235013008117676
other7	10	0.09088897705078125	2.2746779918670654
other8	8	0.15177011489868164	4.043842077255249
other9	2	0.3280460834503174	3.15497088432312
image name	percentage similarity	matching time	time_to_fetch_descriptors
original	100	0.07278895378112793	2.041445016860962
rot_90	100	0.0733180046081543	1.971963882446289
cropped	87	0.08165478706359863	1.9467720985412598
lumino	58	0.06632804870605469	3.7459161281585693
rot_45	44	0.13970494270324707	2.0304439067840576
blurred	39	0.015876054763793945	1.9518887996673584
other1	32	0.028740882873535156	2.1840789318084717
other2	30	0.034689903259277344	1.8657019138336182
other3	29	0.10379409790039062	0.2000138759613037
other4	27	0.0799720287322998	3.9811229705810547
0ther5	25	0.02510809898376465	1.910869836807251
