image name	percentage similarity	matching time	time_to_fetch_descriptors
original	99	0.23873686790466309	3.0661780834198
rot_90	88	0.2314620018005371	3.263353109359741
cropped	82	0.22791314125061035	3.1081960201263428
lumino	43	0.3512871265411377	31.73455810546875
rot_45	11	1.4227039813995361	3.2924978733062744
blurred	10	0.13189411163330078	5.259501934051514
other1	0	0.3670940399169922	17.884424924850464
other2	0	0.3436429500579834	3.5342459678649902
other3	0	0.5247781276702881	18.365390062332153
other4	0	0.1065669059753418	3.4936089515686035
0ther5	0	0.14362287521362305	3.1653740406036377
0ther6	0	0.342742919921875	3.383111000061035
other7	0	0.09060096740722656	3.2321650981903076
other8	0	0.921475887298584	3.2703359127044678
other9	0	0.13827896118164062	0.20749115943908691
original	99	0.24723505973815918	4.08842921257019
rot_90	88	0.24809908866882324	3.288794994354248
cropped	83	0.26479315757751465	3.144780158996582
lumino	45	0.31569504737854004	18.18874502182007
rot_45	12	0.06846809387207031	3.50748610496521
blurred	12	1.5433509349822998	3.805490016937256
other1	1	0.09164810180664062	3.128446102142334
other2	1	0.1469588279724121	0.22232508659362793
other3	0	0.4061450958251953	18.24916100502014
other4	0	0.3369021415710449	3.9893441200256348
0ther5	0	0.520982027053833	16.42173981666565
0ther6	0	0.08050012588500977	3.195936918258667
other7	0	0.3277430534362793	3.2702200412750244
other8	0	0.08182215690612793	3.1250641345977783
other9	0	0.960439920425415	3.477780818939209
original	99	0.249769926071167	3.2893290519714355
rot_90	88	0.23809504508972168	3.053920030593872
cropped	84	0.2380378246307373	3.3155019283294678
lumino	47	0.3250401020050049	14.798195838928223
rot_45	15	0.05358386039733887	3.206475019454956
blurred	12	1.584578037261963	3.7981340885162354
other1	2	0.0990450382232666	3.1845250129699707
other2	2	0.15253996849060059	0.2139909267425537
other3	0	0.39748096466064453	13.532557010650635
other4	0	0.32364702224731445	3.426161050796509
0ther5	0	0.500471830368042	13.30310606956482
0ther6	0	0.07255792617797852	3.0298027992248535
other7	0	0.3123350143432617	3.327576160430908
other8	0	0.07947206497192383	3.272284984588623
other9	0	0.9284169673919678	4.200549125671387
original	99	0.25211215019226074	2.8254880905151367
rot_90	89	0.2174088954925537	2.828727960586548
cropped	85	0.24800801277160645	3.129210948944092
lumino	49	0.3164939880371094	14.153988122940063
rot_45	18	0.052388906478881836	3.016519069671631
blurred	12	1.4160029888153076	3.0592219829559326
other1	2	0.0880129337310791	2.7530088424682617
other2	2	0.14291000366210938	0.1947178840637207
other3	0	0.36798620223999023	11.54991602897644
other4	0	0.29752612113952637	2.799325942993164
0ther5	0	0.4800739288330078	11.455165147781372
0ther6	0	0.06283807754516602	2.799229145050049
other7	0	0.30829906463623047	3.120375156402588
other8	0	0.08336210250854492	2.684674024581909
other9	0	0.8790311813354492	3.4385340213775635
original	99	0.2373640537261963	2.806710958480835
rot_90	89	0.22639918327331543	2.984668016433716
cropped	86	0.23466801643371582	2.8899500370025635
lumino	52	0.28735899925231934	13.038594961166382
rot_45	20	0.0508420467376709	2.873745918273926
blurred	12	1.4561700820922852	3.3566269874572754
other1	4	0.14473819732666016	0.2259070873260498
other2	3	0.09045910835266113	2.7138710021972656
other3	1	0.2937638759613037	3.0153238773345947
other4	1	0.29074811935424805	3.0082950592041016
0ther5	0	0.34772586822509766	10.821748971939087
0ther6	0	0.46022486686706543	10.526604890823364
other7	0	0.06530499458312988	2.739980936050415
other8	0	0.0787351131439209	2.8478331565856934
other9	0	0.8759469985961914	3.0271189212799072
original	99	0.245805025100708	2.856323003768921
rot_90	90	0.22818207740783691	2.9101102352142334
cropped	88	0.22752594947814941	3.048975944519043
lumino	53	0.3000519275665283	11.371357917785645
rot_45	24	0.050997018814086914	2.800233840942383
blurred	13	1.4837150573730469	3.101454019546509
other1	6	0.1445310115814209	0.19522714614868164
other2	4	0.08579015731811523	2.897547960281372
other3	3	0.292586088180542	3.059631109237671
other4	2	0.29317712783813477	2.809843063354492
0ther5	2	0.07280683517456055	2.9748449325561523
0ther6	2	0.07567000389099121	2.6755788326263428
other7	1	0.3549230098724365	11.01524806022644
other8	1	0.45095205307006836	11.32567286491394
other9	0	0.8574001789093018	3.041322946548462
original	99	0.2360990047454834	2.9021551609039307
rot_90	90	0.23193597793579102	2.926441192626953
cropped	89	0.22047185897827148	2.9648869037628174
lumino	56	0.2929959297180176	11.913509845733643
rot_45	29	0.049407958984375	2.764910936355591
blurred	13	1.4288392066955566	3.253704071044922
other1	10	0.14133691787719727	0.1983649730682373
other2	6	0.09054088592529297	2.7443430423736572
other3	5	0.06507992744445801	2.6467700004577637
other4	5	0.2879970073699951	2.8488709926605225
0ther5	4	0.3076670169830322	3.0898959636688232
