image name	matching time	time_to_fetch_descriptors
core_orig	0.03651618957519531	0.2754380702972412
tradder_orig	0.004378080368041992	0.23525714874267578
metanoia_orig	0.0051441192626953125	0.21124672889709473
owl_orig	0.005742073059082031	0.24299073219299316
temps_orig	0.004979133605957031	0.20510005950927734
wood_orig	0.0046901702880859375	0.21346497535705566
body_orig	0.004637956619262695	0.22490596771240234
sheep_orig	0.0053577423095703125	0.24210619926452637
400_orig	0.004452228546142578	0.20102715492248535
hair_orig	0.005343914031982422	0.20108604431152344
computer_orig	0.004632711410522461	0.2791910171508789
chicken_orig	0.004619121551513672	0.21079301834106445
cendrillon_orig	0.0045969486236572266	0.19457602500915527
lignes_electron_orig	0.005166769027709961	0.22334885597229004
beuty_and_b_orig	0.0050771236419677734	0.2592349052429199
duck_orig	0.004827260971069336	0.22353816032409668
muhammed_orig	0.004600048065185547	0.21229219436645508
Mhidi_orig	0.0045130252838134766	0.24210500717163086
phsiq_orig	0.0049288272857666016	0.19593501091003418
jardin_orig	0.0045969486236572266	0.17527985572814941
html_ik_orig	0.0043828487396240234	0.21234631538391113
space2_orig	0.004518985748291016	0.22995209693908691
yunus_orig	0.005271196365356445	0.18912672996520996
hawas_orig	0.0063478946685791016	0.19766616821289062
pigeon_orig	0.004846096038818359	0.18671774864196777
php_orig	0.00440216064453125	0.19267034530639648
fox_orig	0.004829883575439453	0.1915290355682373
king_orig	0.0044689178466796875	0.19455885887145996
cissco_orig	0.004792928695678711	0.21616196632385254
white_orig	0.004414081573486328	0.19524788856506348
sciences_orig	0.005192995071411133	0.18566393852233887
arous_orig	0.004563808441162109	0.2232048511505127
mysql_orig	0.0044591426849365234	0.24303579330444336
magnet_orig	0.004572868347167969	0.24756407737731934
bouamama_orig	0.004790067672729492	0.02468085289001465
othman_orig	0.004298210144042969	0.19795775413513184
abubakr_orig	0.005308866500854492	0.20723414421081543
dinos_orig	0.004851102828979492	0.2063612937927246
foxen_orig	0.005005836486816406	0.22380590438842773
electricity_orig	0.004706144332885742	0.19866704940795898
main_electronic_orig	0.005042314529418945	0.2090451717376709
lotfi_orig	0.004757881164550781	0.2029130458831787
morad_orig	0.004832029342651367	0.19685983657836914
bambi_orig	0.005034208297729492	0.24696993827819824
fanon_orig	0.005002021789550781	0.23589825630187988
adam_orig	0.004750728607177734	0.2337808609008789
ali_orig	0.004523754119873047	0.22453570365905762
space_orig	0.004342079162597656	0.22556805610656738
math_telecom_orig	0.004770040512084961	0.21814608573913574
aya_orig	0.004761934280395508	0.1966719627380371
alice2_orig	0.004459857940673828	0.19079303741455078
arith_orig	0.005551815032958984	0.20394396781921387
math_2_orig	0.004718780517578125	0.19772815704345703
horse_orig	0.004720926284790039	0.2091381549835205
david_orig	0.004724025726318359	0.1864457130432129
orthograph_orig	0.004723310470581055	0.19513702392578125
girl_orig	0.004744052886962891	0.2013559341430664
eng_math_orig	0.004902839660644531	0.2829711437225342
turnip_orig	0.00468897819519043	0.1982710361480713
maths_orig	0.004685878753662109	0.19744086265563965
alg_anly_orig	0.004591226577758789	0.1822519302368164
hud_orig	0.004624843597412109	0.21132397651672363
algebra_orig	0.004812955856323242	0.17748308181762695
farhat_orig	0.004675626754760742	0.1842050552368164
sina_orig	0.004637002944946289	0.1988849639892578
alice_orig	0.004710197448730469	0.22948718070983887
Jamila_orig	0.004642963409423828	0.22320199012756348
bird_orig	0.005095958709716797	0.2020878791809082
batouta_orig	0.004842996597290039	0.20788812637329102
wishes_orig	0.0047681331634521484	0.18951177597045898
nouh_orig	0.0046520233154296875	0.19666719436645508
jaber_orig	0.0047092437744140625	0.21257877349853516
phsiq2_orig	0.004680156707763672	0.2609131336212158
moodle_orig	0.004740238189697266	0.22555208206176758
lan_C_orig	0.005836009979248047	0.23353314399719238
two_orig	0.004803895950317383	0.19341325759887695
ant_orig	0.004693031311035156	0.20733213424682617
digit_C_orig	0.004645824432373047	0.1967029571533203
zacharie_orig	0.004618167877197266	0.22544598579406738
magic_orig	0.00479888916015625	0.1960279941558838
kipic_orig	0.0047760009765625	0.18602800369262695
saleh_orig	0.00442194938659668	0.18981480598449707
tomb_orig	0.004701137542724609	0.1932668685913086
math_ecs_orig	0.004603862762451172	0.2045130729675293
bird2_orig	0.004395961761474609	0.1839601993560791
yusuf_orig	0.0052089691162109375	0.26241111755371094
html_orig	0.004866123199462891	0.2260608673095703
compt_orig	0.004724979400634766	0.19527006149291992
antenne_orig	0.00467991828918457	0.2602241039276123
securit_orig	0.0046672821044921875	0.23640894889831543
ahmed_orig	0.004849910736083984	0.19690227508544922
electronic_orig	0.00436711311340332	0.1808183193206787
antennas_orig	0.0046880245208740234	0.19567108154296875
universe_orig	0.004678010940551758	0.19445180892944336
lolita_orig	0.004698753356933594	0.2030620574951172
drupal_orig	0.004724025726318359	0.2009260654449463
khaldoun_orig	0.004783153533935547	0.24590373039245605
elephant_orig	0.005346059799194336	0.21462798118591309
alg_lin_orig	0.004803180694580078	0.2552361488342285
evo_reaseux_orig	0.004806995391845703	0.2651231288909912
