image name	matching time	time_to_fetch_descriptors
chicken_orig	0.00458216667175293	0.23925089836120605
cendrillon_orig	0.004619121551513672	0.22549796104431152
dinos_orig	0.0043790340423583984	0.20302510261535645
body_orig	0.00471186637878418	0.22969508171081543
farhat_orig	0.004912137985229492	0.20067191123962402
hawas_orig	0.004649162292480469	0.19652199745178223
sciences_orig	0.0046672821044921875	0.20048213005065918
arous_orig	0.004422187805175781	0.20248103141784668
ahmed_orig	0.0067560672760009766	0.21593499183654785
kipic_orig	0.0075457096099853516	0.20647716522216797
sina_orig	0.004673004150390625	0.2237858772277832
saleh_orig	0.0046117305755615234	0.2085270881652832
arith_orig	0.004360198974609375	0.16843390464782715
alice_orig	0.004538059234619141	0.19135093688964844
Jamila_orig	0.004785060882568359	0.1939380168914795
pigeon_orig	0.0047261714935302734	0.17788004875183105
tomb_orig	0.0043294429779052734	0.18021178245544434
khaldoun_orig	0.004355907440185547	0.20922088623046875
lignes_electron_orig	0.004349946975708008	0.18430304527282715
math_2_orig	0.004511833190917969	0.1680760383605957
horse_orig	0.004633903503417969	0.17867398262023926
foxen_orig	0.0046269893646240234	0.1994948387145996
elephant_orig	0.005544900894165039	0.18552327156066895
david_orig	0.004385948181152344	0.18641901016235352
math_ecs_orig	0.004595756530761719	0.1766657829284668
bird2_orig	0.004598855972290039	0.18048095703125
mysql_orig	0.004583835601806641	0.18135666847229004
electronic_orig	0.004756927490234375	0.18419504165649414
bird_orig	0.0046122074127197266	0.20399689674377441
phsiq_orig	0.004616975784301758	0.17803716659545898
antennas_orig	0.0054318904876708984	0.1730039119720459
jardin_orig	0.004626750946044922	0.20189213752746582
tradder_orig	0.0047130584716796875	0.22664999961853027
electricity_orig	0.004659891128540039	0.23703289031982422
orthograph_orig	0.005316972732543945	0.023463010787963867
girl_orig	0.004517078399658203	0.18524599075317383
main_electronic_orig	0.004683017730712891	0.18831181526184082
lotfi_orig	0.004534006118774414	0.18748903274536133
beuty_and_b_orig	0.004347085952758789	0.19298386573791504
magnet_orig	0.004948854446411133	0.211381196975708
batouta_orig	0.0045969486236572266	0.20603609085083008
php_orig	0.004929065704345703	0.19449400901794434
metanoia_orig	0.005373954772949219	0.1956629753112793
wishes_orig	0.004842996597290039	0.2540431022644043
nouh_orig	0.004801034927368164	0.22387266159057617
fox_orig	0.004464149475097656	0.20308995246887207
king_orig	0.0046100616455078125	0.1898329257965088
temps_orig	0.004611015319824219	0.19132113456726074
wood_orig	0.00427699089050293	0.19720888137817383
eng_math_orig	0.0046002864837646484	0.18182706832885742
cissco_orig	0.0046939849853515625	0.17770600318908691
turnip_orig	0.004363059997558594	0.19751405715942383
maths_orig	0.004534006118774414	0.1862657070159912
yusuf_orig	0.004754066467285156	0.1953260898590088
sheep_orig	0.004548072814941406	0.1788330078125
hair_orig	0.004734039306640625	0.18743395805358887
html_ik_orig	0.004706144332885742	0.19370603561401367
jaber_orig	0.004614114761352539	0.2317800521850586
phsiq2_orig	0.00432896614074707	0.18128490447998047
moodle_orig	0.004503965377807617	0.18364214897155762
alg_anly_orig	0.004767894744873047	0.17243170738220215
space2_orig	0.0047109127044677734	0.18900299072265625
html_orig	0.004565000534057617	0.16532301902770996
compt_orig	0.004820108413696289	0.17536306381225586
lan_C_orig	0.004411935806274414	0.1803750991821289
hud_orig	0.004490852355957031	0.20494699478149414
universe_orig	0.004527091979980469	0.18813109397888184
antenne_orig	0.004478931427001953	0.19283699989318848
morad_orig	0.0047130584716796875	0.1911909580230713
bambi_orig	0.004724025726318359	0.18127894401550293
two_orig	0.004756927490234375	0.19264578819274902
fanon_orig	0.004639387130737305	0.19767498970031738
adam_orig	0.0046269893646240234	0.23666810989379883
bouamama_orig	0.004378795623779297	0.19417500495910645
ali_orig	0.00588226318359375	0.20280122756958008
ant_orig	0.004285097122192383	0.19592070579528809
algebra_orig	0.005107879638671875	0.18072009086608887
othman_orig	0.00467991828918457	0.18710994720458984
duck_orig	0.004639863967895508	0.20454692840576172
lolita_orig	0.004548072814941406	0.1852118968963623
space_orig	0.004649162292480469	0.17577099800109863
digit_C_orig	0.004400014877319336	0.17986202239990234
computer_orig	0.004569053649902344	0.18306589126586914
math_telecom_orig	0.005855083465576172	0.20287203788757324
alg_lin_orig	0.004561901092529297	0.21056175231933594
muhammed_orig	0.004486083984375	0.22919392585754395
securit_orig	0.004858255386352539	0.21364307403564453
evo_reaseux_orig	0.004486083984375	0.19779205322265625
zacharie_orig	0.004634857177734375	0.2561380863189697
white_orig	0.004464149475097656	0.21058988571166992
Mhidi_orig	0.004366159439086914	0.18611502647399902
400_orig	0.004647970199584961	0.1752181053161621
abubakr_orig	0.004699230194091797	0.18498611450195312
drupal_orig	0.004395961761474609	0.1864161491394043
aya_orig	0.004647016525268555	0.1989612579345703
magic_orig	0.00439906120300293	0.1918330192565918
alice2_orig	0.0044498443603515625	0.1961209774017334
yunus_orig	0.005759000778198242	0.19991397857666016
core_orig	0.004690885543823242	0.20340394973754883
owl_orig	0.00447392463684082	0.2041459083557129
